Name,Original Price,Discounted Price,Rating,Product URL,Image URL
Pink Fort Printed V-Neck Pure Cotton Top,Rs. 1895,Rs. 1212,"4.4
|
50",https://www.myntra.com/tops/pink+fort/pink-fort-printed-v-neck-pure-cotton-top/27322122/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27322122/2025/7/9/16792e29-a164-4f83-bc6e-b5c97a246cb61752059649430-Pink-Fort-Printed-V-Neck-Pure-Cotton-Top-9931752059648963-1.jpg"
DressBerry Embroidered A-Line Top,Rs. 1649,Rs. 593,"4.1
|
1.8k",https://www.myntra.com/tops/dressberry/dressberry-red--blue-embroidered-a-line-top/11005624/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11005624/2020/3/20/f251133a-49a8-4a80-ad5f-a6c0e3a227a51584700438657-DressBerry-Women-Red-Embroidered-A-Line-Top-881584700436686-1.jpg"
Royal Marque Floral Print Peplum Top,Rs. 1799,Rs. 503,"4.2
|
261",https://www.myntra.com/tops/royal+marque/royal-marque-floral-print-cotton-peplum-top/31124261/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/26/1gcKn1yw_4c3b2fdad5c04e548871f9c8431658b9.jpg"
SALT ATTIRE Women Printed Blouson Top,Rs. 2650,Rs. 1590,N/A,https://www.myntra.com/tops/salt+attire/salt-attire-women-floral-printed-blouson-top/33329356/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MARCH/25/U7XEif3T_a69372c0ac284494bcd65798f5c28cd7.jpg"
CORSICA Women Self Design Top,Rs. 1999,Rs. 699,"3.9
|
117",https://www.myntra.com/tops/corsica/corsica-women-self-design-print-top/34075521/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MAY/12/GVnq8LR5_fa0e4619fcb141f5ac4a17bff08ddf4a.jpg"
Mast & Harbour Striped Boxy Top,Rs. 1499,Rs. 509,"4.4
|
2.6k",https://www.myntra.com/tops/mast+%26+harbour/mast--harbour-black-striped-extended-sleeves-boxy-top/24383738/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24383738/2023/8/7/4861673a-55d7-44d2-b52e-25596ce93d5d1691417075878MastHarbourBlackStripedExtendedSleevesTop1.jpg"
Nike Indy Logo-Printed Tank Top,Rs. 2895,Rs. 2605,"4.4
|
33",https://www.myntra.com/tops/nike/nike-indy-logo-printed-tank-top/23425336/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23425336/2023/5/26/bce80e71-75a0-4077-9b29-a22dba3940111685086793841NikeIndyWomensBraTankTop1.jpg"
her by invictus Shirt Style Top,Rs. 1799,Rs. 719,"4.3
|
954",https://www.myntra.com/tops/her+by+invictus/her-by-invictus-solid-shirt-style-top/26669104/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26669104/2024/1/9/5730b810-0d91-477d-be42-b76d693df9741704792119739-V-Neck-Cuffed-Sleeves-Top-7541704792119414-1.jpg"
N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
